stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopPoint:LIL08781N,"La Jaunaie",,47.09466785,-1.43917688,,,0,StopArea:LIL172
StopPoint:LIL22131N,"Le Butay",,47.09574236,-1.447567,,,0,StopArea:LIL193
StopPoint:LIL08697N,"Les Trois Hermines",,47.10950751,-1.47287408,,,0,StopArea:LIL213
StopPoint:LILNav2252,"Les Bourdonnières Arrêt Busway",,47.18633674,-1.51752998,,,0,StopArea:LIL1202
StopPoint:LILNav2476,"Centre",,0,0,,,0,StopArea:LIL162
StopPoint:LILNav2477,"Centre",,0,0,,,0,StopArea:LIL57
StopPoint:LILNav2474,"Centre",,0,0,,,0,StopArea:LIL57
StopPoint:LILNav2475,"Centre",,0,0,,,0,StopArea:LIL162
StopPoint:LILNav2261,"Le Cormier",,47.16085592,-2.17215497,,,0,StopArea:LIL1197
StopPoint:LILNav2262,"Le Clion sur Mer - Eglise",,47.11938939,-2.04995962,,,0,StopArea:LIL1219
StopPoint:LIL05725O,"Centre",,47.1511925,-1.98519706,,,0,StopArea:LIL63
StopPoint:LILNav2337,"Haute Perche",,47.13137277,-1.96985146,,,0,StopArea:LIL1246
StopPoint:LIL22733O,"La Boizonnière",,47.11981108,-1.95451487,,,0,StopArea:LIL1147
StopPoint:LIL6024O,"La Birochère",,47.10977935,-2.08850296,,,0,StopArea:LIL938
StopPoint:LIL5791O,"La Joselière",,47.10400199,-2.07645433,,,0,StopArea:LIL932
StopPoint:LIL5738O,"La Fléchousserie",,47.10212952,-2.05915779,,,0,StopArea:LIL937
StopPoint:LIL15615O,"La Nouée Fleurie",,47.08510937,-2.03046736,,,0,StopArea:LIL1152
StopPoint:LIL5345O,"Centre",,47.08035984,-2.03729246,,,0,StopArea:LIL727
StopPoint:LIL25515N,"Centre",,47.06361106,-2.00139057,,,0,StopArea:LIL726
StopPoint:LIL4940O,"Prigny",,47.06518041,-1.98299065,,,0,StopArea:LIL1151
StopPoint:LIL24560O,"SNCF",,47.04638469,-1.95556035,,,0,StopArea:LIL1150
StopPoint:LIL4918O,"Gendarmerie",,47.04644578,-1.95572907,,,0,StopArea:LIL725
StopPoint:LIL24034O,"Centre",,47.10637114,-1.93849633,,,0,StopArea:LIL5
StopPoint:LILNav1877,"Les Pierres Rousses",,47.11654481,-1.93259539,,,0,StopArea:LIL946
StopPoint:LIL04986O,"Centre",,47.12323314,-1.91241734,,,0,StopArea:LIL66
StopPoint:LIL4681O,"Pont Béranger",,47.13013363,-1.83437217,,,0,StopArea:LIL1149
StopPoint:LILtemp02,"Ecomarché",,47.1331505,-1.749861,,,0,StopArea:LIL1148
StopPoint:LIL06610O,"Centre",,47.13361252,-1.74791528,,,0,StopArea:LIL44
StopPoint:LIL06603O,"Centre",,47.13652145,-1.73026717,,,0,StopArea:LIL353
StopPoint:LILNav2263,"Le Clémois",,47.13733325,-1.72253983,,,0,StopArea:LIL1198
StopPoint:LILNav2273,"Le Clémois",,47.13733325,-1.72253983,,,0,StopArea:LIL1198
StopPoint:LIL06603N,"Centre",,47.13652145,-1.73026717,,,0,StopArea:LIL353
StopPoint:LIL06610N,"Centre",,47.13361252,-1.74791528,,,0,StopArea:LIL44
StopPoint:LILtemp03,"Ecomarché",,47.1331505,-1.749861,,,0,StopArea:LIL1148
StopPoint:LIL25508N,"Pont Béranger",,47.13013363,-1.83437217,,,0,StopArea:LIL1149
StopPoint:LIL04986N,"Centre",,47.12323314,-1.91241734,,,0,StopArea:LIL66
StopPoint:LIL25511N,"Les Pierres Rousses",,47.11654481,-1.93259539,,,0,StopArea:LIL946
StopPoint:LIL24034N,"Centre",,47.10637114,-1.93849633,,,0,StopArea:LIL5
StopPoint:LIL22733N,"La Boizonnière",,47.11981108,-1.95451487,,,0,StopArea:LIL1147
StopPoint:LILNav2346,"Haute Perche",,47.13137277,-1.96985146,,,0,StopArea:LIL1246
StopPoint:LIL05725N,"Centre",,47.1511925,-1.98519706,,,0,StopArea:LIL63
StopPoint:LILNav2274,"Le Clion sur Mer - Eglise",,47.11938939,-2.04995962,,,0,StopArea:LIL1219
StopPoint:LILNav2275,"Le Cormier",,47.16085592,-2.17215497,,,0,StopArea:LIL1197
StopPoint:LIL25509N,"Gendarmerie",,47.04644578,-1.95572907,,,0,StopArea:LIL725
StopPoint:LIL25510N,"SNCF",,47.04638469,-1.95556035,,,0,StopArea:LIL1150
StopPoint:LIL4940N,"Prigny",,47.06518041,-1.98299065,,,0,StopArea:LIL1151
StopPoint:LIL5337N,"Centre",,47.06361106,-2.00139057,,,0,StopArea:LIL726
StopPoint:LIL5345N,"Centre",,47.08035984,-2.03729246,,,0,StopArea:LIL727
StopPoint:LIL15615N,"La Nouée Fleurie",,47.08510937,-2.03046736,,,0,StopArea:LIL1152
StopPoint:LIL25505N,"La Fléchousserie",,47.10212952,-2.05915779,,,0,StopArea:LIL937
StopPoint:LIL5791N,"La Joselière",,47.10400199,-2.07645433,,,0,StopArea:LIL932
StopPoint:LIL6024N,"La Birochère",,47.10977935,-2.08850296,,,0,StopArea:LIL938
StopPoint:LILNav582,"Centre",,47.31327217,-1.32215833,,,0,StopArea:LIL373
StopPoint:LIL09747O,"Barbechat",,47.27755457,-1.28644379,,,0,StopArea:LIL9
StopPoint:LIL09309O,"Guineau",,47.26774378,-1.35551653,,,0,StopArea:LIL127
